id,Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
1084,32,61,30,Sandy,Ground Nuts,16,19,6,DAP
1085,31,67,45,Black,Paddy,29,18,24,10-26-26
1086,35,65,40,Loamy,Maize,8,0,32,20-20
1087,36,68,55,Clayey,Pulses,32,0,23,28-28
1088,38,54,54,Loamy,Barley,36,17,30,20-20
1089,26,58,46,Clayey,Paddy,37,15,28,10-26-26
1090,32,68,60,Red,Paddy,11,16,33,DAP
1091,26,63,58,Clayey,Barley,30,18,24,17-17-17
1092,36,58,65,Black,Ground Nuts,27,11,34,DAP
1093,34,72,53,Red,Pulses,37,16,37,20-20
1094,29,64,63,Black,Ground Nuts,25,1,33,20-20
1095,28,68,50,Clayey,Millets,8,17,18,28-28
1096,38,56,50,Clayey,Millets,26,12,2,20-20
1097,31,71,33,Loamy,Tobacco,20,6,21,10-26-26
1098,37,55,42,Loamy,Barley,11,13,32,28-28
1099,33,53,50,Sandy,Wheat,26,4,23,10-26-26
1100,36,50,44,Black,Paddy,36,19,35,Urea
1101,37,68,58,Red,Barley,42,4,12,17-17-17
1102,28,65,57,Red,Maize,39,14,14,DAP
1103,25,56,64,Sandy,Ground Nuts,19,6,27,20-20
1104,27,52,52,Red,Tobacco,17,2,31,DAP
1105,27,65,51,Sandy,Cotton,11,15,6,DAP
1106,35,50,39,Loamy,Paddy,33,10,10,14-35-14
1107,36,52,30,Sandy,Sugarcane,26,19,3,20-20
1108,25,61,25,Clayey,Ground Nuts,7,9,23,17-17-17
1109,31,70,31,Red,Tobacco,23,4,29,Urea
1110,36,60,26,Red,Oil seeds,34,5,41,14-35-14
1111,26,64,36,Loamy,Paddy,16,9,18,28-28
1112,37,50,38,Sandy,Barley,38,15,0,Urea
1113,38,71,45,Black,Ground Nuts,24,7,34,20-20
1114,28,66,44,Loamy,Tobacco,18,3,0,17-17-17
1115,31,59,35,Sandy,Pulses,30,6,34,10-26-26
1116,32,65,46,Sandy,Tobacco,26,5,4,20-20
1117,36,71,28,Loamy,Maize,26,13,26,17-17-17
1118,27,59,59,Clayey,Maize,37,18,6,28-28
1119,33,57,30,Sandy,Pulses,32,13,41,20-20
1120,29,71,25,Loamy,Barley,18,1,4,17-17-17
1121,38,72,29,Loamy,Wheat,12,19,41,14-35-14
1122,35,56,64,Black,Paddy,40,4,41,10-26-26
1123,26,64,39,Loamy,Ground Nuts,32,9,19,10-26-26
1124,33,70,40,Sandy,Millets,38,17,6,17-17-17
1125,29,54,63,Red,Sugarcane,31,6,21,DAP
1126,35,60,48,Black,Tobacco,12,4,4,20-20
1127,32,58,34,Clayey,Millets,7,15,21,28-28
1128,38,54,38,Black,Ground Nuts,31,2,33,17-17-17
1129,26,71,59,Sandy,Wheat,38,13,35,Urea
1130,30,61,38,Sandy,Pulses,32,16,28,17-17-17
1131,29,70,54,Loamy,Wheat,4,11,29,20-20
1132,38,53,31,Clayey,Maize,35,17,30,10-26-26
1133,35,57,46,Loamy,Pulses,31,17,1,10-26-26
1134,31,58,49,Black,Paddy,27,19,10,Urea
1135,28,55,42,Black,Oil seeds,23,19,32,20-20
1136,35,57,54,Sandy,Barley,37,15,15,28-28
1137,35,59,56,Red,Tobacco,36,2,30,10-26-26
1138,29,54,37,Clayey,Millets,6,0,35,10-26-26
1139,26,72,37,Sandy,Paddy,9,14,6,Urea
1140,27,54,48,Clayey,Barley,23,2,12,20-20
1141,35,63,56,Black,Cotton,35,17,12,14-35-14
1142,37,65,61,Clayey,Oil seeds,8,18,12,Urea
1143,36,63,53,Loamy,Cotton,8,0,27,17-17-17
1144,32,61,30,Loamy,Wheat,38,13,23,10-26-26
1145,38,63,32,Clayey,Barley,34,13,9,28-28
1146,34,63,27,Clayey,Millets,29,13,29,17-17-17
1147,31,61,59,Loamy,Maize,9,5,35,10-26-26
1148,37,58,54,Red,Paddy,8,8,23,20-20
1149,35,70,37,Loamy,Ground Nuts,23,17,35,17-17-17
1150,27,59,37,Sandy,Millets,33,7,29,17-17-17
1151,38,51,63,Red,Paddy,23,11,10,10-26-26
1152,29,59,32,Loamy,Wheat,19,12,16,DAP
1153,37,54,53,Black,Barley,19,18,8,28-28
1154,30,61,25,Clayey,Barley,12,14,4,28-28
1155,31,56,53,Sandy,Sugarcane,34,18,11,17-17-17
1156,26,68,40,Red,Barley,19,3,32,14-35-14
1157,27,51,39,Clayey,Cotton,10,14,0,DAP
1158,34,67,36,Black,Barley,42,17,4,17-17-17
1159,29,53,50,Sandy,Paddy,21,14,5,Urea
1160,37,55,36,Red,Pulses,31,15,2,20-20
1161,30,69,27,Loamy,Barley,33,15,33,28-28
1162,37,64,39,Clayey,Oil seeds,10,13,40,14-35-14
1163,37,55,56,Loamy,Millets,14,6,16,17-17-17
1164,26,60,49,Sandy,Maize,30,0,42,DAP
1165,25,64,28,Clayey,Barley,21,9,7,17-17-17
1166,31,58,42,Sandy,Cotton,29,7,30,DAP
1167,31,56,65,Black,Tobacco,41,19,17,17-17-17
1168,32,67,50,Red,Millets,5,5,1,14-35-14
1169,26,64,56,Red,Barley,39,6,38,10-26-26
1170,36,70,43,Clayey,Paddy,32,3,18,28-28
1171,37,50,26,Black,Pulses,13,2,15,17-17-17
1172,29,69,45,Red,Wheat,23,12,7,20-20
1173,31,60,62,Red,Ground Nuts,31,7,7,DAP
1174,29,61,55,Loamy,Maize,31,0,22,10-26-26
1175,35,64,41,Loamy,Oil seeds,28,5,7,20-20
1176,26,71,51,Loamy,Oil seeds,8,19,34,17-17-17
1177,35,72,50,Loamy,Oil seeds,18,2,3,14-35-14
1178,31,51,25,Loamy,Barley,10,16,21,17-17-17
1179,36,54,46,Black,Sugarcane,14,6,9,Urea
1180,32,59,28,Clayey,Sugarcane,22,8,16,10-26-26
1181,31,71,38,Black,Cotton,22,15,39,14-35-14
1182,34,51,37,Loamy,Cotton,24,17,32,28-28
1183,30,70,48,Black,Barley,38,7,42,20-20
1184,34,64,64,Red,Barley,38,16,5,17-17-17
1185,31,64,61,Red,Maize,36,6,9,14-35-14
1186,38,59,28,Black,Paddy,22,3,32,14-35-14
1187,30,71,35,Loamy,Paddy,38,2,16,Urea
1188,32,64,45,Loamy,Wheat,36,14,2,10-26-26
1189,29,52,36,Clayey,Ground Nuts,14,2,7,28-28
1190,33,55,51,Red,Millets,6,0,24,28-28
1191,38,61,28,Black,Pulses,25,9,27,17-17-17
1192,29,51,43,Loamy,Wheat,28,2,25,10-26-26
1193,32,51,32,Black,Paddy,30,13,7,28-28
1194,37,53,51,Black,Ground Nuts,38,18,26,28-28
1195,27,61,33,Clayey,Pulses,32,16,42,17-17-17
1196,36,56,63,Loamy,Paddy,29,6,0,28-28
1197,26,54,44,Red,Paddy,19,4,24,28-28
1198,37,55,55,Clayey,Millets,8,0,23,17-17-17
1199,27,69,62,Loamy,Maize,23,18,11,DAP
1200,34,69,64,Loamy,Paddy,26,0,31,10-26-26
1201,27,52,54,Sandy,Pulses,23,11,35,17-17-17
1202,30,55,43,Clayey,Paddy,5,14,41,17-17-17
1203,38,60,59,Clayey,Millets,37,6,16,17-17-17
1204,37,58,64,Sandy,Millets,6,9,40,17-17-17
1205,28,50,61,Sandy,Paddy,29,1,21,10-26-26
1206,28,55,50,Loamy,Sugarcane,33,3,40,10-26-26
1207,33,63,34,Black,Paddy,7,19,30,DAP
1208,36,51,33,Sandy,Barley,12,6,39,14-35-14
1209,32,68,31,Clayey,Barley,32,18,24,14-35-14
1210,25,70,55,Black,Ground Nuts,29,13,26,28-28
1211,28,64,31,Red,Maize,11,2,12,14-35-14
1212,30,53,26,Sandy,Ground Nuts,13,1,29,14-35-14
1213,38,60,25,Clayey,Maize,8,1,39,17-17-17
1214,32,66,28,Clayey,Maize,42,15,15,17-17-17
1215,26,72,58,Clayey,Oil seeds,15,13,33,14-35-14
1216,35,59,64,Red,Paddy,41,16,20,DAP
1217,31,68,54,Sandy,Paddy,21,4,27,17-17-17
1218,38,56,29,Loamy,Cotton,39,0,13,20-20
1219,28,52,37,Loamy,Wheat,29,10,30,14-35-14
1220,35,59,34,Sandy,Sugarcane,22,3,32,10-26-26
1221,26,70,51,Red,Ground Nuts,23,3,8,28-28
1222,35,52,37,Clayey,Pulses,13,13,17,Urea
1223,37,50,48,Sandy,Ground Nuts,41,5,29,Urea
1224,25,72,37,Clayey,Oil seeds,19,4,9,Urea
1225,31,68,61,Black,Tobacco,22,10,4,28-28
1226,32,56,43,Black,Paddy,25,18,34,DAP
1227,38,50,45,Clayey,Wheat,34,17,1,10-26-26
1228,38,59,39,Clayey,Wheat,26,18,2,10-26-26
1229,37,55,37,Sandy,Cotton,37,14,12,20-20
1230,28,67,40,Red,Cotton,11,17,24,10-26-26
1231,29,61,32,Red,Ground Nuts,24,16,34,28-28
1232,26,60,35,Sandy,Maize,26,14,31,20-20
1233,32,53,31,Sandy,Millets,9,14,18,17-17-17
1234,26,53,27,Loamy,Oil seeds,19,18,36,20-20
1235,29,64,62,Sandy,Barley,35,15,0,DAP
1236,34,66,34,Red,Paddy,29,8,41,10-26-26
1237,32,68,47,Black,Oil seeds,25,16,9,17-17-17
1238,37,60,65,Loamy,Wheat,15,3,4,DAP
1239,37,58,28,Clayey,Pulses,9,4,6,Urea
1240,31,56,32,Black,Pulses,24,0,38,28-28
1241,38,52,39,Clayey,Ground Nuts,13,8,14,DAP
1242,30,52,32,Red,Wheat,26,13,10,20-20
1243,38,54,52,Loamy,Pulses,24,9,18,14-35-14
1244,31,65,42,Loamy,Ground Nuts,21,19,8,28-28
1245,25,62,59,Loamy,Tobacco,28,0,22,28-28
1246,38,55,37,Loamy,Paddy,15,15,25,14-35-14
1247,37,72,39,Black,Sugarcane,35,11,0,14-35-14
1248,38,63,44,Clayey,Paddy,5,13,38,17-17-17
1249,34,62,41,Red,Wheat,32,2,18,17-17-17
1250,30,60,31,Sandy,Oil seeds,11,3,12,28-28
1251,38,61,39,Black,Tobacco,14,8,39,10-26-26
1252,36,69,56,Sandy,Oil seeds,25,10,9,28-28
1253,31,58,45,Loamy,Ground Nuts,31,10,29,17-17-17
1254,32,50,48,Sandy,Barley,26,19,42,14-35-14
1255,32,71,27,Clayey,Sugarcane,28,19,30,20-20
1256,27,51,32,Black,Wheat,6,8,16,20-20
1257,25,54,51,Loamy,Barley,37,1,26,14-35-14
1258,35,69,64,Loamy,Paddy,14,0,37,17-17-17
1259,32,64,43,Red,Sugarcane,5,12,38,17-17-17
1260,32,59,37,Sandy,Oil seeds,4,8,39,20-20
1261,28,69,50,Sandy,Maize,13,13,20,28-28
1262,29,65,35,Clayey,Tobacco,8,3,12,DAP
1263,32,53,58,Clayey,Millets,8,9,14,28-28
1264,32,66,43,Loamy,Sugarcane,17,3,0,28-28
1265,25,59,47,Red,Millets,27,17,2,Urea
1266,37,64,40,Loamy,Ground Nuts,38,13,15,14-35-14
1267,36,68,34,Clayey,Ground Nuts,32,9,24,17-17-17
1268,28,50,29,Sandy,Paddy,33,13,29,DAP
1269,36,61,65,Sandy,Oil seeds,7,19,37,20-20
1270,34,64,32,Sandy,Millets,36,13,10,20-20
1271,25,68,30,Loamy,Pulses,41,16,24,10-26-26
1272,33,57,50,Clayey,Barley,9,19,16,10-26-26
1273,31,61,37,Black,Pulses,36,16,8,14-35-14
1274,31,67,31,Loamy,Millets,16,1,19,28-28
1275,36,58,59,Red,Tobacco,6,18,1,20-20
1276,36,67,46,Black,Oil seeds,26,6,40,28-28
1277,25,71,40,Red,Maize,21,15,25,Urea
1278,29,71,51,Clayey,Cotton,35,7,17,10-26-26
1279,38,67,36,Black,Millets,27,17,4,20-20
1280,31,72,43,Clayey,Sugarcane,42,14,41,Urea
1281,29,70,25,Loamy,Oil seeds,42,0,24,28-28
1282,37,69,42,Sandy,Paddy,20,0,22,17-17-17
1283,38,51,44,Red,Oil seeds,24,8,27,28-28
1284,31,67,35,Red,Paddy,38,8,10,28-28
1285,38,64,37,Sandy,Sugarcane,16,7,14,10-26-26
1286,25,66,38,Clayey,Ground Nuts,16,3,13,28-28
1287,26,53,61,Loamy,Maize,5,10,30,28-28
1288,29,56,29,Black,Wheat,18,13,7,28-28
1289,33,56,48,Black,Millets,5,7,20,17-17-17
1290,31,51,39,Clayey,Ground Nuts,31,10,1,28-28
1291,31,67,33,Sandy,Cotton,35,19,30,20-20
1292,26,66,36,Clayey,Millets,12,4,1,28-28
1293,27,53,50,Clayey,Millets,31,3,39,17-17-17
1294,36,50,40,Black,Ground Nuts,26,4,9,17-17-17
1295,25,69,27,Sandy,Ground Nuts,21,14,4,20-20
1296,37,71,61,Black,Maize,24,6,28,20-20
1297,38,50,39,Clayey,Cotton,20,2,4,17-17-17
1298,38,50,32,Black,Millets,36,4,22,28-28
1299,25,54,35,Clayey,Wheat,35,16,35,10-26-26
1300,32,71,38,Black,Paddy,11,4,23,10-26-26
1301,28,71,39,Black,Cotton,41,4,26,17-17-17
1302,33,54,58,Red,Pulses,42,16,38,Urea
1303,32,65,64,Loamy,Paddy,35,7,31,17-17-17
1304,34,69,51,Clayey,Paddy,32,19,40,28-28
1305,35,55,25,Clayey,Oil seeds,16,0,18,14-35-14
1306,27,60,32,Sandy,Wheat,9,7,22,28-28
1307,32,54,29,Loamy,Wheat,23,10,40,10-26-26
1308,25,53,36,Clayey,Millets,12,8,11,20-20
1309,27,69,38,Loamy,Barley,40,17,22,Urea
1310,25,70,41,Clayey,Millets,23,3,5,17-17-17
1311,32,53,27,Black,Pulses,40,13,4,20-20
1312,29,70,51,Red,Paddy,34,11,8,10-26-26
1313,27,51,65,Red,Tobacco,13,5,23,DAP
1314,37,56,50,Clayey,Pulses,41,2,26,10-26-26
1315,37,55,29,Black,Sugarcane,7,17,38,10-26-26
1316,37,62,62,Red,Millets,10,19,12,17-17-17
1317,34,63,54,Red,Ground Nuts,27,10,4,28-28
1318,28,69,40,Red,Maize,18,16,26,20-20
1319,29,63,25,Loamy,Tobacco,25,7,27,10-26-26
1320,31,62,65,Red,Pulses,26,7,33,Urea
1321,26,60,45,Red,Pulses,11,12,3,10-26-26
1322,34,67,65,Black,Maize,5,5,5,17-17-17
1323,34,58,29,Black,Wheat,22,6,3,10-26-26
1324,28,66,38,Loamy,Tobacco,5,14,38,20-20
1325,35,51,47,Black,Oil seeds,41,15,24,28-28
1326,32,53,44,Black,Ground Nuts,41,15,15,DAP
1327,29,56,31,Red,Cotton,19,18,17,DAP
1328,33,53,61,Clayey,Oil seeds,41,8,16,DAP
1329,38,56,64,Red,Millets,28,4,15,20-20
1330,28,54,32,Clayey,Cotton,16,16,40,Urea
1331,32,71,33,Red,Ground Nuts,33,19,40,14-35-14
1332,31,54,52,Red,Oil seeds,14,15,16,28-28
1333,25,50,43,Red,Pulses,21,14,14,DAP
1334,34,53,26,Loamy,Maize,31,14,1,10-26-26
1335,37,61,36,Red,Oil seeds,22,3,1,28-28
1336,28,67,33,Black,Maize,7,4,35,14-35-14
1337,29,65,52,Sandy,Pulses,5,0,17,10-26-26
1338,37,70,55,Clayey,Wheat,42,7,39,14-35-14
1339,35,71,45,Clayey,Millets,16,14,4,10-26-26
1340,36,57,52,Clayey,Maize,7,11,27,DAP
1341,27,70,27,Red,Tobacco,41,4,37,Urea
1342,32,63,29,Black,Pulses,39,18,2,DAP
1343,36,50,61,Clayey,Pulses,32,0,7,28-28
1344,35,60,45,Black,Maize,38,9,21,17-17-17
1345,28,50,43,Clayey,Oil seeds,11,2,10,28-28
1346,27,64,32,Black,Wheat,41,14,9,20-20
1347,31,66,64,Loamy,Paddy,19,17,13,Urea
1348,29,53,60,Black,Ground Nuts,39,19,9,10-26-26
1349,33,53,54,Red,Tobacco,9,5,11,Urea
1350,38,54,46,Black,Paddy,40,13,15,17-17-17
1351,35,54,47,Red,Millets,30,12,38,17-17-17
1352,33,66,38,Red,Paddy,31,19,3,20-20
1353,26,50,38,Loamy,Paddy,17,19,38,20-20
1354,31,72,56,Red,Paddy,30,13,24,DAP
1355,25,56,65,Red,Pulses,28,12,30,20-20
1356,27,71,43,Sandy,Millets,9,7,26,Urea
1357,38,69,52,Sandy,Barley,20,2,30,17-17-17
1358,28,52,36,Loamy,Paddy,26,0,24,17-17-17
1359,31,66,37,Loamy,Millets,34,18,7,14-35-14
1360,30,68,57,Clayey,Cotton,20,13,26,17-17-17
1361,36,52,37,Sandy,Wheat,35,4,33,17-17-17
1362,34,72,57,Sandy,Tobacco,10,8,24,Urea
1363,25,65,28,Black,Millets,9,18,34,28-28
1364,35,61,25,Clayey,Sugarcane,35,4,27,DAP
1365,34,67,41,Clayey,Oil seeds,35,19,21,28-28
1366,33,58,48,Clayey,Sugarcane,40,0,16,17-17-17
1367,26,67,48,Sandy,Barley,31,14,34,14-35-14
1368,32,60,51,Red,Cotton,34,9,40,20-20
1369,31,60,52,Black,Paddy,24,19,13,DAP
1370,34,68,42,Sandy,Pulses,34,7,15,17-17-17
1371,28,62,56,Sandy,Wheat,38,5,19,DAP
1372,38,63,29,Clayey,Millets,20,3,20,10-26-26
1373,25,66,60,Red,Tobacco,6,1,17,28-28
1374,29,52,59,Red,Paddy,31,0,13,Urea
1375,35,64,54,Loamy,Sugarcane,9,12,11,Urea
1376,30,64,49,Sandy,Cotton,6,5,25,17-17-17
1377,28,69,55,Loamy,Cotton,15,9,40,DAP
1378,37,52,37,Clayey,Pulses,10,3,25,20-20
1379,33,70,34,Clayey,Wheat,26,18,17,Urea
1380,31,69,25,Black,Barley,8,14,31,DAP
1381,38,51,28,Sandy,Tobacco,11,19,22,Urea
1382,30,65,55,Loamy,Maize,39,6,27,28-28
1383,31,55,29,Black,Sugarcane,7,11,22,17-17-17
1384,25,68,37,Sandy,Pulses,25,12,0,DAP
1385,38,59,30,Clayey,Millets,19,11,24,14-35-14
1386,26,64,56,Clayey,Paddy,24,3,20,Urea
1387,25,58,48,Black,Sugarcane,24,18,13,Urea
1388,25,50,60,Black,Millets,36,2,28,Urea
1389,27,62,28,Sandy,Ground Nuts,25,9,18,DAP
1390,30,66,56,Loamy,Cotton,4,14,32,DAP
1391,29,58,63,Black,Wheat,7,15,21,20-20
1392,25,70,63,Clayey,Wheat,18,2,6,20-20
1393,34,69,62,Clayey,Ground Nuts,26,16,32,28-28
1394,25,66,37,Loamy,Paddy,8,6,37,10-26-26
1395,27,69,53,Sandy,Oil seeds,17,12,38,17-17-17
1396,33,72,25,Sandy,Ground Nuts,12,7,30,20-20
1397,26,54,56,Black,Paddy,11,3,0,DAP
1398,38,61,51,Black,Paddy,22,12,22,20-20
1399,38,68,50,Sandy,Barley,31,15,15,17-17-17
1400,34,68,44,Loamy,Barley,42,8,0,10-26-26
1401,38,55,57,Clayey,Millets,35,5,8,DAP
1402,35,52,59,Red,Pulses,7,3,41,17-17-17
1403,25,67,29,Clayey,Oil seeds,34,8,15,10-26-26
1404,28,54,61,Loamy,Oil seeds,11,1,7,14-35-14
1405,34,52,40,Loamy,Millets,35,4,3,DAP
1406,34,59,38,Loamy,Ground Nuts,21,19,28,20-20
1407,34,61,32,Black,Sugarcane,16,14,27,20-20
1408,25,60,36,Red,Sugarcane,29,15,21,28-28
1409,36,51,42,Sandy,Tobacco,41,2,34,Urea
1410,33,65,64,Black,Maize,16,14,28,Urea
1411,38,63,35,Sandy,Cotton,24,17,34,DAP
1412,33,61,54,Red,Cotton,40,11,25,28-28
1413,30,57,42,Red,Oil seeds,12,7,23,10-26-26
1414,29,69,32,Loamy,Barley,19,19,22,Urea
1415,38,63,34,Black,Paddy,9,5,13,20-20
1416,35,60,38,Clayey,Wheat,32,9,38,17-17-17
1417,35,69,48,Loamy,Wheat,23,10,30,28-28
1418,29,68,50,Clayey,Cotton,7,10,3,DAP
1419,38,70,44,Loamy,Sugarcane,18,13,1,17-17-17
1420,32,53,42,Red,Pulses,23,10,38,17-17-17
1421,29,51,65,Clayey,Oil seeds,37,17,23,14-35-14
1422,32,59,64,Loamy,Tobacco,39,7,40,20-20
1423,28,53,38,Sandy,Wheat,13,11,25,14-35-14
1424,31,52,48,Black,Millets,11,17,17,28-28
1425,34,63,29,Sandy,Barley,15,10,30,17-17-17
1426,31,52,43,Black,Ground Nuts,38,10,20,28-28
1427,25,62,60,Clayey,Wheat,28,16,11,28-28
1428,27,56,34,Loamy,Barley,34,5,31,DAP
1429,31,50,46,Red,Wheat,30,7,8,14-35-14
1430,28,69,56,Sandy,Barley,41,16,16,28-28
1431,28,54,28,Loamy,Cotton,39,11,41,10-26-26
1432,33,59,27,Sandy,Ground Nuts,27,7,20,DAP
1433,26,56,51,Sandy,Oil seeds,37,15,5,28-28
1434,25,51,53,Red,Ground Nuts,42,12,14,DAP
1435,26,58,62,Clayey,Tobacco,40,6,3,14-35-14
1436,28,67,50,Clayey,Cotton,23,8,23,17-17-17
1437,29,56,38,Loamy,Maize,10,9,6,14-35-14
1438,28,55,46,Red,Ground Nuts,12,18,25,10-26-26
1439,32,62,42,Loamy,Millets,39,16,5,28-28
1440,34,67,27,Loamy,Barley,18,16,13,10-26-26
1441,25,60,48,Loamy,Paddy,37,13,9,10-26-26
1442,29,71,38,Loamy,Wheat,35,6,2,10-26-26
1443,34,65,41,Clayey,Barley,6,16,7,Urea
1444,34,51,52,Red,Barley,4,12,35,Urea
1445,29,56,47,Loamy,Millets,10,4,3,20-20
1446,27,52,58,Clayey,Barley,12,9,10,14-35-14
1447,35,53,41,Loamy,Tobacco,6,17,16,14-35-14
1448,29,62,46,Clayey,Pulses,30,7,35,DAP
1449,27,66,40,Sandy,Maize,21,17,18,17-17-17
1450,31,54,41,Black,Paddy,8,17,6,17-17-17
1451,29,57,44,Clayey,Barley,30,4,34,10-26-26
1452,36,66,36,Sandy,Cotton,17,11,37,28-28
1453,29,61,45,Loamy,Tobacco,27,9,36,17-17-17
1454,27,60,59,Loamy,Millets,27,16,39,DAP
1455,32,60,27,Loamy,Millets,18,19,40,14-35-14
1456,38,72,42,Black,Ground Nuts,16,12,22,20-20
1457,32,70,34,Red,Paddy,29,3,38,14-35-14
1458,30,67,34,Loamy,Wheat,31,17,22,DAP
1459,31,63,54,Red,Paddy,31,1,31,17-17-17
1460,31,63,59,Red,Tobacco,40,3,27,28-28
1461,32,64,64,Black,Oil seeds,28,11,37,28-28
1462,29,66,29,Loamy,Wheat,19,7,14,DAP
1463,34,61,43,Clayey,Wheat,38,3,4,20-20
1464,26,62,40,Loamy,Tobacco,19,9,18,17-17-17
1465,30,71,65,Clayey,Pulses,5,19,38,20-20
1466,30,63,40,Clayey,Pulses,30,3,1,20-20
1467,26,53,58,Sandy,Sugarcane,39,12,1,DAP
1468,34,68,51,Sandy,Barley,34,13,7,DAP
1469,25,64,64,Clayey,Tobacco,30,6,37,DAP
1470,27,54,64,Sandy,Paddy,36,14,36,Urea
1471,30,54,34,Loamy,Cotton,26,17,9,20-20
1472,31,64,26,Red,Ground Nuts,20,19,4,28-28
1473,28,68,43,Sandy,Cotton,28,15,28,17-17-17
1474,27,60,64,Clayey,Wheat,27,2,8,14-35-14
1475,33,59,27,Black,Barley,5,2,24,DAP
1476,32,65,52,Sandy,Ground Nuts,11,18,32,28-28
1477,33,59,62,Red,Wheat,38,4,6,17-17-17
1478,33,59,59,Loamy,Tobacco,17,17,11,10-26-26
1479,26,62,39,Loamy,Sugarcane,23,6,32,DAP
1480,38,54,37,Loamy,Barley,26,2,9,DAP
1481,34,61,51,Clayey,Pulses,38,14,29,10-26-26
1482,25,58,53,Black,Ground Nuts,34,5,39,28-28
1483,37,63,51,Loamy,Pulses,29,4,23,10-26-26
1484,37,64,51,Black,Millets,42,9,30,17-17-17
1485,30,57,36,Loamy,Oil seeds,4,16,40,Urea
1486,26,51,28,Loamy,Cotton,15,12,26,10-26-26
1487,28,71,39,Loamy,Pulses,27,12,4,20-20
1488,33,61,36,Clayey,Ground Nuts,24,13,28,20-20
1489,37,64,53,Loamy,Cotton,35,2,3,17-17-17
1490,32,57,44,Clayey,Tobacco,27,2,7,DAP
1491,37,50,59,Black,Oil seeds,14,14,20,14-35-14
1492,36,71,58,Red,Pulses,30,15,24,10-26-26
1493,25,68,41,Clayey,Wheat,20,2,24,DAP
1494,26,68,58,Clayey,Maize,26,7,35,20-20
1495,29,52,33,Sandy,Tobacco,31,19,6,14-35-14
1496,36,61,25,Loamy,Sugarcane,15,7,10,14-35-14
1497,37,55,45,Sandy,Wheat,30,15,26,10-26-26
1498,29,51,32,Clayey,Wheat,23,5,17,14-35-14
1499,38,50,25,Clayey,Cotton,37,8,26,20-20
1500,30,57,36,Loamy,Cotton,25,16,28,Urea
1501,37,72,38,Sandy,Wheat,41,17,10,DAP
1502,30,70,38,Red,Oil seeds,28,1,5,14-35-14
1503,37,65,45,Loamy,Cotton,8,4,25,14-35-14
1504,37,60,38,Black,Barley,19,1,26,28-28
1505,25,52,51,Clayey,Paddy,15,0,17,17-17-17
1506,34,63,29,Black,Paddy,33,17,41,14-35-14
1507,25,71,42,Red,Cotton,30,16,4,17-17-17
1508,32,70,39,Sandy,Maize,9,19,23,20-20
1509,31,69,52,Clayey,Wheat,17,2,36,10-26-26
1510,37,68,49,Black,Maize,34,8,34,DAP
1511,36,67,25,Red,Cotton,28,13,39,17-17-17
1512,34,63,53,Black,Sugarcane,11,5,33,17-17-17
1513,35,65,65,Clayey,Wheat,10,1,38,Urea
1514,28,70,53,Black,Oil seeds,38,11,8,DAP
1515,29,55,38,Loamy,Paddy,9,19,30,17-17-17
1516,26,61,34,Loamy,Pulses,4,18,31,20-20
1517,30,62,50,Clayey,Maize,29,9,8,20-20
1518,28,65,45,Sandy,Barley,17,9,26,Urea
1519,32,69,56,Black,Paddy,21,2,27,20-20
1520,26,71,65,Sandy,Millets,23,7,15,17-17-17
1521,27,72,56,Sandy,Pulses,23,11,4,20-20
1522,26,52,55,Sandy,Paddy,33,15,33,28-28
1523,33,60,31,Sandy,Ground Nuts,19,4,38,20-20
1524,26,56,32,Clayey,Sugarcane,25,15,23,10-26-26
1525,35,64,44,Sandy,Pulses,9,8,27,DAP
1526,31,50,48,Red,Oil seeds,13,15,35,14-35-14
1527,37,72,41,Clayey,Tobacco,26,17,24,DAP
1528,25,67,33,Clayey,Tobacco,39,5,15,28-28
1529,34,53,25,Loamy,Wheat,24,6,10,14-35-14
1530,25,58,53,Clayey,Pulses,30,1,27,28-28
1531,32,51,59,Black,Sugarcane,34,18,16,20-20
1532,27,66,29,Red,Tobacco,38,12,41,10-26-26
1533,26,70,59,Red,Barley,32,17,1,14-35-14
1534,32,59,64,Clayey,Paddy,34,0,21,DAP
1535,30,55,51,Sandy,Maize,7,16,6,DAP
1536,30,67,57,Loamy,Paddy,19,12,40,28-28
1537,31,60,41,Loamy,Maize,39,1,15,17-17-17
1538,34,72,32,Black,Wheat,18,14,14,Urea
1539,32,51,52,Black,Tobacco,20,10,7,10-26-26
1540,26,53,31,Red,Ground Nuts,23,13,19,20-20
1541,25,71,60,Black,Tobacco,25,13,28,17-17-17
1542,33,69,29,Clayey,Oil seeds,37,15,33,14-35-14
1543,26,51,27,Black,Paddy,27,6,41,17-17-17
1544,28,58,42,Black,Cotton,42,18,36,DAP
1545,37,50,35,Loamy,Cotton,42,14,32,17-17-17
1546,37,69,64,Black,Maize,25,13,28,Urea
1547,30,51,61,Sandy,Pulses,20,8,30,Urea
1548,28,71,30,Red,Oil seeds,31,9,13,14-35-14
1549,29,61,28,Clayey,Paddy,16,7,7,17-17-17
1550,32,60,56,Red,Sugarcane,13,9,1,28-28
1551,30,71,48,Sandy,Ground Nuts,21,13,19,DAP
1552,33,55,49,Sandy,Pulses,24,6,4,20-20
1553,34,55,30,Loamy,Oil seeds,13,19,25,20-20
1554,28,64,49,Sandy,Tobacco,41,14,31,17-17-17
